type_value,total_count,pct_of_typed,cumulative_pct,provinces,currently_mapped_to,proposed_category,proposed_murb_positive
Bâtiment commercial,3222,0.1512,94.1108,QC,UNMAPPED -> dropped,commercial,False
Multi-Family Dwelling,3220,0.1511,94.2619,AB;BC;ON,UNMAPPED -> dropped,multi_residential,True
Piscine privée,3189,0.1497,94.4116,QC,UNMAPPED -> dropped,other,False
Single-Family Detached Home,3024,0.1419,94.5535,AB;BC;ON,UNMAPPED -> dropped,residential_single,False
School,2936,0.1378,94.6913,AB;BC;NB;NS;ON,institutional,institutional,False
Place of Worship,2891,0.1357,94.827,BC;NB;NS;ON,UNMAPPED -> dropped,institutional,False
Recreation,2845,0.1335,94.9605,BC;NT;ON,UNMAPPED -> dropped,institutional,False
Duplex,2767,0.1299,95.0904,AB;BC;NS;ON,UNMAPPED -> dropped,low_rise_residential,False
Unknown,2700,0.1267,95.2171,BC;NS;ON,UNMAPPED -> dropped,,False
Single Unit Dwelling,2696,0.1265,95.3436,NS;ON,UNMAPPED -> dropped,residential_single,False
Low Density Residential,2591,0.1216,95.4652,ON,UNMAPPED -> dropped,residential,False
Cottage / Camp,2395,0.1124,95.5776,NB,UNMAPPED -> dropped,other,False
Two Unit House,2352,0.1104,95.688,ON,UNMAPPED -> dropped,low_rise_residential,False
Multi Family Dwelling,2245,0.1054,95.7934,ON,UNMAPPED -> dropped,multi_residential,True
Heritage Building,2222,0.1043,95.8977,AB;BC,UNMAPPED -> dropped,,False
Residential-Duplex,2215,0.104,96.0017,BC,UNMAPPED -> dropped,low_rise_residential,False
LR,2186,0.1026,96.1043,ON,UNMAPPED -> dropped,,False
Miscellaneous,2154,0.1011,96.2054,BC,UNMAPPED -> dropped,,False
Resort Dwelling,2128,0.0999,96.3053,ON,UNMAPPED -> dropped,residential,False
Multiple,2011,0.0944,96.3997,ON,UNMAPPED -> dropped,,False
Industrial Facility,1875,0.088,96.4877,NB;ON,UNMAPPED -> dropped,industrial,False
ORM_Boundary,1654,0.0776,96.5653,ON,UNMAPPED -> dropped,,False
Services,1648,0.0774,96.6427,BC;QC,UNMAPPED -> dropped,commercial,False
Seasonal Dwelling,1625,0.0763,96.719,ON,UNMAPPED -> dropped,other,False
Multi-Unit Dwelling,1619,0.076,96.795,NB;NS,UNMAPPED -> dropped,multi_residential,True
Residential-Low Rise,1549,0.0727,96.8677,BC,UNMAPPED -> dropped,residential,False
Production et extraction de richesses naturelles,1477,0.0693,96.937,QC,UNMAPPED -> dropped,industrial,False
Building Under Construction,1445,0.0678,97.0048,AB,UNMAPPED -> dropped,,False
Silo,1445,0.0678,97.0726,ON;QC,UNMAPPED -> dropped,industrial,False
Apartment,1414,0.0664,97.139,BC;NS;ON,apartment,apartment,True
Bâtiment industriel,1393,0.0654,97.2044,QC,UNMAPPED -> dropped,industrial,False
Commerciale,1361,0.0639,97.2683,QC,UNMAPPED -> dropped,commercial,False
Commercial or Retail Facility,1282,0.0602,97.3285,NB;ON,UNMAPPED -> dropped,commercial,False
Other,1274,0.0598,97.3883,BC;ON,UNMAPPED -> dropped,,False
Trailer,1252,0.0588,97.4471,ON,UNMAPPED -> dropped,,False
Commercial / Business,1245,0.0584,97.5055,NB,UNMAPPED -> dropped,commercial,False
Greenhouse,1234,0.0579,97.5634,BC;NB;NS;ON,UNMAPPED -> dropped,other,False
Institutional,1224,0.0574,97.6208,BC;ON,institutional,institutional,False
Comprehensive Development,1184,0.0556,97.6764,BC,UNMAPPED -> dropped,,False
Government / Military,1122,0.0527,97.7291,ON,UNMAPPED -> dropped,institutional,False
Office,965,0.0453,97.7744,BC;NS;ON,commercial,commercial,False
Restaurant,923,0.0433,97.8177,BC;NS;ON,UNMAPPED -> dropped,commercial,False
Urban_Centre,858,0.0403,97.858,ON,UNMAPPED -> dropped,,False
Industries manufacturières,824,0.0387,97.8967,QC,UNMAPPED -> dropped,industrial,False
Warehouse,804,0.0377,97.9344,NS;ON,UNMAPPED -> dropped,commercial,False
Camp,785,0.0368,97.9712,NS,UNMAPPED -> dropped,other,False
Education,736,0.0345,98.0057,BC;NB;ON,UNMAPPED -> dropped,,False
Bar / Restaurant,724,0.034,98.0397,NS;ON,UNMAPPED -> dropped,commercial,False
Community Centre,709,0.0333,98.073,BC;NB;NS;ON,UNMAPPED -> dropped,,False
Education Facility,675,0.0317,98.1047,NB;ON,UNMAPPED -> dropped,,False
Miscellaneous (Park Buildings/Structures),663,0.0311,98.1358,AB,UNMAPPED -> dropped,other,False
"Transports, communications et services publics",613,0.0288,98.1646,QC,UNMAPPED -> dropped,commercial,False
Multi-Family Residential,611,0.0287,98.1933,BC,UNMAPPED -> dropped,multi_residential,True
Casernes de pompiers,605,0.0284,98.2217,QC,UNMAPPED -> dropped,,False
Other Retail,603,0.0283,98.25,NS,UNMAPPED -> dropped,commercial,False
"Culturel, récréatif et de loisirs",584,0.0274,98.2774,QC,UNMAPPED -> dropped,,False
Rowhouse,574,0.0269,98.3043,ON,UNMAPPED -> dropped,low_rise_residential,False
Triplex,570,0.0268,98.3311,NS;ON,UNMAPPED -> dropped,low_rise_residential,False
Condominium,562,0.0264,98.3575,ON,condominium,condominium,True
Fourplex,559,0.0262,98.3837,NS;ON,UNMAPPED -> dropped,low_rise_residential,False
School Colleges,554,0.026,98.4097,AB,UNMAPPED -> dropped,institutional,False
École,541,0.0254,98.4351,QC,UNMAPPED -> dropped,institutional,False
out,534,0.0251,98.4602,BC,UNMAPPED -> dropped,,False
Accomodation,533,0.025,98.4852,NS;ON,UNMAPPED -> dropped,,False
Bâtiment municipal,520,0.0244,98.5096,QC,UNMAPPED -> dropped,institutional,False
Manufacturing,499,0.0234,98.533,ON,UNMAPPED -> dropped,industrial,False
Townhouse/Apartment/Walk Up - R3,498,0.0234,98.5564,AB,UNMAPPED -> dropped,apartment,True
Agricultural,492,0.0231,98.5795,BC;NB;ON,other,other,False
Government,455,0.0214,98.6009,NB;NT;ON,institutional,institutional,False
Boathouse,451,0.0212,98.6221,ON,UNMAPPED -> dropped,,False
Religious,449,0.0211,98.6432,AB;BC;NB;ON,UNMAPPED -> dropped,,False
Other Service,437,0.0205,98.6637,NS,UNMAPPED -> dropped,commercial,False
ComB,434,0.0204,98.6841,ON,UNMAPPED -> dropped,,False
Vacant,434,0.0204,98.7045,NS;ON,UNMAPPED -> dropped,,False
Immeubles non exploités et étendues d'eau,423,0.0199,98.7244,QC,UNMAPPED -> dropped,,False
Utility,396,0.0186,98.743,BC;ON,UNMAPPED -> dropped,other,False
Community Facility,392,0.0184,98.7614,BC;ON,UNMAPPED -> dropped,,False
Cultural,383,0.018,98.7794,NB;ON,UNMAPPED -> dropped,,False
Réservoir,370,0.0174,98.7968,QC,UNMAPPED -> dropped,,False
Rural Residential,366,0.0172,98.814,BC,UNMAPPED -> dropped,residential,False
Detached House + SU,352,0.0165,98.8305,ON,UNMAPPED -> dropped,residential_single,False
Open Space,339,0.0159,98.8464,ON,UNMAPPED -> dropped,,False
