metric,pathway,n,median,mean,p25,p75,p5,p95
footprint_area_m2,precision,7623,419.5468914716749,727.23,213.76198262775523,915.4556062227219,117.2000285270586,2235.604137930998
footprint_area_m2,tiered,59543,451.24566101078,919.0,227.04869312009208,949.5469409973321,98.2039277802112,2689.6598975865036
aspect_ratio,precision,7623,1.8361690439612854,2.08,1.3595504317879255,2.539489371964752,1.0586179527951884,3.8923381454502626
aspect_ratio,tiered,59543,1.7190125518116,2.04,1.3076021627383643,2.340179230143348,1.0459777122574663,3.866859782265903
compactness,precision,7623,0.6120112196771733,0.59,0.48649361096075633,0.7054887383672854,0.3102797555308164,0.7806838386431497
compactness,tiered,59543,0.5836979680278022,0.56,0.4571400150068911,0.6712806527373714,0.27154382629927365,0.7716788607421069
rectangularity,precision,7623,0.9195813586689859,0.87,0.8152789918168593,0.9935430847560224,0.5491073056982453,0.9999961947488938
rectangularity,tiered,59543,0.869542228369799,0.84,0.7709393668748834,0.9514863158999838,0.5438548930275668,0.9999871274741661
