type_value,total_count,n_provinces,provinces,pct_of_typed,cumulative_pct,top_province,currently_mapped_to,currently_murb_evidence,decision_category,decision_is_murb_evidence,reviewer_notes
Commerciale,1361,1,QC,0.0639,97.2683,QC,UNMAPPED -> dropped,no,,,
Commercial or Retail Facility,1282,2,NB;ON,0.0602,97.3285,ON,UNMAPPED -> dropped,no,,,
Other,1274,2,BC;ON,0.0598,97.3883,ON,UNMAPPED -> dropped,no,,,
Trailer,1252,1,ON,0.0588,97.4471,ON,UNMAPPED -> dropped,no,,,
Commercial / Business,1245,1,NB,0.0584,97.5055,NB,UNMAPPED -> dropped,no,,,
Greenhouse,1234,4,BC;NB;NS;ON,0.0579,97.5634,ON,UNMAPPED -> dropped,no,,,
Institutional,1224,2,BC;ON,0.0574,97.6208,ON,institutional,no,,,
Comprehensive Development,1184,1,BC,0.0556,97.6764,BC,UNMAPPED -> dropped,no,,,
Government / Military,1122,1,ON,0.0527,97.7291,ON,UNMAPPED -> dropped,no,,,
Office,965,3,BC;NS;ON,0.0453,97.7744,NS,commercial,no,,,
Restaurant,923,3,BC;NS;ON,0.0433,97.8177,BC,UNMAPPED -> dropped,no,,,
Urban_Centre,858,1,ON,0.0403,97.858,ON,UNMAPPED -> dropped,no,,,
Industries manufacturières,824,1,QC,0.0387,97.8967,QC,UNMAPPED -> dropped,no,,,
Warehouse,804,2,NS;ON,0.0377,97.9344,NS,UNMAPPED -> dropped,no,,,
Camp,785,1,NS,0.0368,97.9712,NS,UNMAPPED -> dropped,no,,,
Education,736,3,BC;NB;ON,0.0345,98.0057,ON,UNMAPPED -> dropped,no,,,
Bar / Restaurant,724,2,NS;ON,0.034,98.0397,NS,UNMAPPED -> dropped,no,,,
Community Centre,709,4,BC;NB;NS;ON,0.0333,98.073,ON,UNMAPPED -> dropped,no,,,
Education Facility,675,2,NB;ON,0.0317,98.1047,ON,UNMAPPED -> dropped,no,,,
Miscellaneous (Park Buildings/Structures),663,1,AB,0.0311,98.1358,AB,UNMAPPED -> dropped,no,,,
"Transports, communications et services publics",613,1,QC,0.0288,98.1646,QC,UNMAPPED -> dropped,no,,,
Multi-Family Residential,611,1,BC,0.0287,98.1933,BC,UNMAPPED -> dropped,no,,,
Casernes de pompiers,605,1,QC,0.0284,98.2217,QC,UNMAPPED -> dropped,no,,,
Other Retail,603,1,NS,0.0283,98.25,NS,UNMAPPED -> dropped,no,,,
"Culturel, récréatif et de loisirs",584,1,QC,0.0274,98.2774,QC,UNMAPPED -> dropped,no,,,
Rowhouse,574,1,ON,0.0269,98.3043,ON,UNMAPPED -> dropped,no,,,
Triplex,570,2,NS;ON,0.0268,98.3311,ON,UNMAPPED -> dropped,no,,,
Condominium,562,1,ON,0.0264,98.3575,ON,condominium,yes,,,
Fourplex,559,2,NS;ON,0.0262,98.3837,ON,UNMAPPED -> dropped,no,,,
School Colleges,554,1,AB,0.026,98.4097,AB,UNMAPPED -> dropped,no,,,
École,541,1,QC,0.0254,98.4351,QC,UNMAPPED -> dropped,no,,,
out,534,1,BC,0.0251,98.4602,BC,UNMAPPED -> dropped,no,,,
Accomodation,533,2,NS;ON,0.025,98.4852,ON,UNMAPPED -> dropped,no,,,
Bâtiment municipal,520,1,QC,0.0244,98.5096,QC,UNMAPPED -> dropped,no,,,
Manufacturing,499,1,ON,0.0234,98.533,ON,UNMAPPED -> dropped,no,,,
Townhouse/Apartment/Walk Up - R3,498,1,AB,0.0234,98.5564,AB,UNMAPPED -> dropped,no,,,
Agricultural,492,3,BC;NB;ON,0.0231,98.5795,ON,other,no,,,
Government,455,3,NB;NT;ON,0.0214,98.6009,ON,institutional,no,,,
Boathouse,451,1,ON,0.0212,98.6221,ON,UNMAPPED -> dropped,no,,,
Religious,449,4,AB;BC;NB;ON,0.0211,98.6432,AB,UNMAPPED -> dropped,no,,,
Other Service,437,1,NS,0.0205,98.6637,NS,UNMAPPED -> dropped,no,,,
ComB,434,1,ON,0.0204,98.6841,ON,UNMAPPED -> dropped,no,,,
Vacant,434,2,NS;ON,0.0204,98.7045,ON,UNMAPPED -> dropped,no,,,
Immeubles non exploités et étendues d'eau,423,1,QC,0.0199,98.7244,QC,UNMAPPED -> dropped,no,,,
Utility,396,2,BC;ON,0.0186,98.743,ON,UNMAPPED -> dropped,no,,,
Community Facility,392,2,BC;ON,0.0184,98.7614,ON,UNMAPPED -> dropped,no,,,
Cultural,383,2,NB;ON,0.018,98.7794,ON,UNMAPPED -> dropped,no,,,
Réservoir,370,1,QC,0.0174,98.7968,QC,UNMAPPED -> dropped,no,,,
Rural Residential,366,1,BC,0.0172,98.814,BC,UNMAPPED -> dropped,no,,,
Detached House + SU,352,1,ON,0.0165,98.8305,ON,UNMAPPED -> dropped,no,,,
Open Space,339,1,ON,0.0159,98.8464,ON,UNMAPPED -> dropped,no,,,
Three Unit Dwelling,331,1,NB,0.0155,98.8619,NB,UNMAPPED -> dropped,no,,,
Agricultural/Rural,331,1,ON,0.0155,98.8774,ON,UNMAPPED -> dropped,no,,,
Fire Station,325,6,AB;BC;NB;NS;ON;SK,0.0153,98.8927,ON,UNMAPPED -> dropped,no,,,
Carport,323,2,BC;ON,0.0152,98.9079,BC,UNMAPPED -> dropped,no,,,
Storage,312,2,BC;ON,0.0146,98.9225,BC,UNMAPPED -> dropped,no,,,
Public Elementary School,305,2,ON;SK,0.0143,98.9368,ON,UNMAPPED -> dropped,no,,,
Elementary School,303,2,BC;ON,0.0142,98.951,ON,UNMAPPED -> dropped,no,,,
Commercial Residential,295,1,ON,0.0138,98.9648,ON,UNMAPPED -> dropped,no,,,
Church,280,4,AB;BC;NS;ON,0.0131,98.9779,ON,institutional,no,,,
"Culturelle, récréative et de loisirs",280,1,QC,0.0131,98.991,QC,UNMAPPED -> dropped,no,,,
Retail and Residence,276,1,ON,0.013,99.004,ON,UNMAPPED -> dropped,no,,,
Bâtiment agricole,275,1,QC,0.0129,99.0169,QC,UNMAPPED -> dropped,no,,,
Special Uses,275,1,ON,0.0129,99.0298,ON,UNMAPPED -> dropped,no,,,
"Transport, communication et services",262,1,QC,0.0123,99.0421,QC,UNMAPPED -> dropped,no,,,
Secondary Suite,261,1,NS,0.0123,99.0544,NS,UNMAPPED -> dropped,no,,,
Repair Garage,260,2,NS;ON,0.0122,99.0666,NS,UNMAPPED -> dropped,no,,,
École primaire,249,1,QC,0.0117,99.0783,QC,UNMAPPED -> dropped,no,,,
