type_value,total_count,n_provinces,provinces,pct_of_typed,cumulative_pct,top_province,currently_mapped_to,currently_murb_evidence,decision_category,decision_is_murb_evidence,reviewer_notes
Police Facility,34,1,ON,0.0016,99.8066,ON,UNMAPPED -> dropped,no,,,
Major Institutional,34,1,ON,0.0016,99.8082,ON,UNMAPPED -> dropped,no,,,
Public Utilities,34,1,AB,0.0016,99.8098,AB,UNMAPPED -> dropped,no,,,
Ski Hill,33,1,ON,0.0015,99.8113,ON,UNMAPPED -> dropped,no,,,
Administrative,33,3,AB;BC;ON,0.0015,99.8128,ON,UNMAPPED -> dropped,no,,,
OS,32,1,ON,0.0015,99.8143,ON,UNMAPPED -> dropped,no,,,
Washroom facility//Toilettes,31,5,AB;NS;ON;QC;YT,0.0015,99.8158,QC,UNMAPPED -> dropped,no,,,
Dup / 4plex,31,1,BC,0.0015,99.8173,BC,UNMAPPED -> dropped,no,,,
Model Home,30,1,ON,0.0014,99.8187,ON,UNMAPPED -> dropped,no,,,
Boarding House,30,1,NS,0.0014,99.8201,NS,UNMAPPED -> dropped,no,,,
Centre sportif intérieur,30,1,QC,0.0014,99.8215,QC,UNMAPPED -> dropped,no,,,
Brewery,30,2,NS;ON,0.0014,99.8229,ON,UNMAPPED -> dropped,no,,,
Public High School,30,2,ON;SK,0.0014,99.8243,ON,UNMAPPED -> dropped,no,,,
Garbage and Recycling,29,1,BC,0.0014,99.8257,BC,UNMAPPED -> dropped,no,,,
Community Space,28,1,BC,0.0013,99.827,BC,UNMAPPED -> dropped,no,,,
Strip Mall,27,1,NS,0.0013,99.8283,NS,UNMAPPED -> dropped,no,,,
Motel,27,1,ON,0.0013,99.8296,ON,UNMAPPED -> dropped,no,,,
Centre de service gouvernemental,27,1,QC,0.0013,99.8309,QC,UNMAPPED -> dropped,no,,,
City,27,1,NT,0.0013,99.8322,NT,UNMAPPED -> dropped,no,,,
Caserne de pompiers,26,1,QC,0.0012,99.8334,QC,UNMAPPED -> dropped,no,,,
Information or Communication Facility,26,2,NB;ON,0.0012,99.8346,ON,UNMAPPED -> dropped,no,,,
Detached Garage + SU,26,1,ON,0.0012,99.8358,ON,UNMAPPED -> dropped,no,,,
UB,26,1,ON,0.0012,99.837,ON,UNMAPPED -> dropped,no,,,
Residential Care Facility,26,1,NS,0.0012,99.8382,NS,UNMAPPED -> dropped,no,,,
Separate Elementary School,25,1,SK,0.0012,99.8394,SK,UNMAPPED -> dropped,no,,,
Veterinary Clinic,25,1,NS,0.0012,99.8406,NS,UNMAPPED -> dropped,no,,,
Adult Residential Facility,25,1,NB,0.0012,99.8418,NB,UNMAPPED -> dropped,no,,,
Health / Medical Facility,25,1,NB,0.0012,99.843,NB,UNMAPPED -> dropped,no,,,
Theatre,25,4,AB;NB;NS;ON,0.0012,99.8442,NB,UNMAPPED -> dropped,no,,,
Police de quartier,25,1,QC,0.0012,99.8454,QC,UNMAPPED -> dropped,no,,,
Other Recreation,25,1,BC,0.0012,99.8466,BC,UNMAPPED -> dropped,no,,,
Bed & Breakfast,24,1,NS,0.0011,99.8477,NS,UNMAPPED -> dropped,no,,,
Fire Station / EMS Station,24,2,NB;ON,0.0011,99.8488,ON,UNMAPPED -> dropped,no,,,
Golf,24,1,BC,0.0011,99.8499,BC,UNMAPPED -> dropped,no,,,
Post Office,24,4,AB;BC;NS;ON,0.0011,99.851,NS,UNMAPPED -> dropped,no,,,
Detached garage,23,1,ON,0.0011,99.8521,ON,UNMAPPED -> dropped,no,,,
Parking Structure,23,1,NS,0.0011,99.8532,NS,UNMAPPED -> dropped,no,,,
Transportation Facility,23,2,NB;ON,0.0011,99.8543,ON,UNMAPPED -> dropped,no,,,
Health Centre,23,1,ON,0.0011,99.8554,ON,UNMAPPED -> dropped,no,,,
D,23,1,ON,0.0011,99.8565,ON,UNMAPPED -> dropped,no,,,
Public Works Depot,23,1,NS,0.0011,99.8576,NS,UNMAPPED -> dropped,no,,,
Emergency,22,1,ON,0.001,99.8586,ON,UNMAPPED -> dropped,no,,,
Cafe,22,1,ON,0.001,99.8596,ON,UNMAPPED -> dropped,no,,,
Multi-Use,22,1,BC,0.001,99.8606,BC,UNMAPPED -> dropped,no,,,
Theatre / Performance,22,1,BC,0.001,99.8616,BC,UNMAPPED -> dropped,no,,,
Alternative Education,22,1,ON,0.001,99.8626,ON,UNMAPPED -> dropped,no,,,
Other Institutional,22,1,AB,0.001,99.8636,AB,UNMAPPED -> dropped,no,,,
Bibliothèque,22,1,QC,0.001,99.8646,QC,UNMAPPED -> dropped,no,,,
Transport,22,1,BC,0.001,99.8656,BC,UNMAPPED -> dropped,no,,,
Aréna,21,1,QC,0.001,99.8666,QC,UNMAPPED -> dropped,no,,,
FD,21,1,ON,0.001,99.8676,ON,UNMAPPED -> dropped,no,,,
Centre commercial,21,1,QC,0.001,99.8686,QC,UNMAPPED -> dropped,no,,,
Prefabricated,21,1,ON,0.001,99.8696,ON,UNMAPPED -> dropped,no,,,
Park Pavilion,21,1,ON,0.001,99.8706,ON,UNMAPPED -> dropped,no,,,
Bibliothèque publique,20,1,QC,0.0009,99.8715,QC,UNMAPPED -> dropped,no,,,
SCHL,20,1,NT,0.0009,99.8724,NT,UNMAPPED -> dropped,no,,,
Airport Support,20,1,NS,0.0009,99.8733,NS,UNMAPPED -> dropped,no,,,
Piscine intérieure,20,1,QC,0.0009,99.8742,QC,UNMAPPED -> dropped,no,,,
Semi-Detached + SU,20,1,ON,0.0009,99.8751,ON,UNMAPPED -> dropped,no,,,
Lumber Mill / Saw Mill,20,2,NS;ON,0.0009,99.876,ON,UNMAPPED -> dropped,no,,,
Grandstand / Stadium,20,1,BC,0.0009,99.8769,BC,UNMAPPED -> dropped,no,,,
Historic Sites,19,1,ON,0.0009,99.8778,ON,UNMAPPED -> dropped,no,,,
Service consulaire,19,1,QC,0.0009,99.8787,QC,UNMAPPED -> dropped,no,,,
Adu,19,1,ON,0.0009,99.8796,ON,UNMAPPED -> dropped,no,,,
G,19,1,ON,0.0009,99.8805,ON,UNMAPPED -> dropped,no,,,
High School,19,1,ON,0.0009,99.8814,ON,UNMAPPED -> dropped,no,,,
University,19,1,ON,0.0009,99.8823,ON,UNMAPPED -> dropped,no,,,
Broiler,18,1,ON,0.0008,99.8831,ON,UNMAPPED -> dropped,no,,,
Park: Municipal,18,1,ON,0.0008,99.8839,ON,UNMAPPED -> dropped,no,,,
Private School,18,2,NS;ON,0.0008,99.8847,NS,UNMAPPED -> dropped,no,,,
Community Pharmacy,18,1,NB,0.0008,99.8855,NB,UNMAPPED -> dropped,no,,,
Art Gallery,18,2,NS;ON,0.0008,99.8863,NS,UNMAPPED -> dropped,no,,,
Emergency Services,17,1,ON,0.0008,99.8871,ON,UNMAPPED -> dropped,no,,,
Department of Community Services Office,17,1,NS,0.0008,99.8879,NS,UNMAPPED -> dropped,no,,,
Salle de spectacle,17,1,QC,0.0008,99.8887,QC,UNMAPPED -> dropped,no,,,
Mixed Use - Residential with Visitor Accommodation,16,1,AB,0.0008,99.8895,AB,UNMAPPED -> dropped,no,,,
Dining,16,1,ON,0.0008,99.8903,ON,UNMAPPED -> dropped,no,,,
Quarry,16,1,NB,0.0008,99.8911,NB,UNMAPPED -> dropped,no,,,
Pool,16,4,BC;NB;NS;ON,0.0008,99.8919,NB,UNMAPPED -> dropped,no,,,
Private Elementary School,16,1,ON,0.0008,99.8927,ON,UNMAPPED -> dropped,no,,,
Federal Government,16,1,NB,0.0008,99.8935,NB,UNMAPPED -> dropped,no,,,
Coverall,15,1,ON,0.0007,99.8942,ON,UNMAPPED -> dropped,no,,,
RCMP STATION,15,1,NS,0.0007,99.8949,NS,UNMAPPED -> dropped,no,,,
Long Term Care,15,1,ON,0.0007,99.8956,ON,UNMAPPED -> dropped,no,,,
Centre d'exposition,15,1,QC,0.0007,99.8963,QC,UNMAPPED -> dropped,no,,,
Attraction,15,1,BC,0.0007,99.897,BC,UNMAPPED -> dropped,no,,,
Low Rise Apartment,15,2,BC;ON,0.0007,99.8977,BC,apartment,yes,,,
Train Station,14,2,BC;ON,0.0007,99.8984,BC,UNMAPPED -> dropped,no,,,
Cafe / Restaurant,14,2,AB;ON,0.0007,99.8991,ON,UNMAPPED -> dropped,no,,,
Financial Institution,14,1,NB,0.0007,99.8998,NB,UNMAPPED -> dropped,no,,,
Public Washroom: Seasonal,14,1,ON,0.0007,99.9005,ON,UNMAPPED -> dropped,no,,,
EMS Station,14,1,ON,0.0007,99.9012,ON,UNMAPPED -> dropped,no,,,
Mining Facility,14,1,NS,0.0007,99.9019,NS,UNMAPPED -> dropped,no,,,
Bar / Restaurant / Performance,14,1,ON,0.0007,99.9026,ON,UNMAPPED -> dropped,no,,,
Seasonal Washroom,14,1,SK,0.0007,99.9033,SK,UNMAPPED -> dropped,no,,,
General Hotel,14,1,ON,0.0007,99.904,ON,UNMAPPED -> dropped,no,,,
Pavilion,14,1,ON,0.0007,99.9047,ON,UNMAPPED -> dropped,no,,,
Community Hall/Centre,13,1,BC,0.0006,99.9053,BC,UNMAPPED -> dropped,no,,,
Warehourse (Retail / Wholesale),13,1,ON,0.0006,99.9059,ON,UNMAPPED -> dropped,no,,,
Nursing Home / Long Term Care,13,1,ON,0.0006,99.9065,ON,UNMAPPED -> dropped,no,,,
Fire Services,13,1,ON,0.0006,99.9071,ON,UNMAPPED -> dropped,no,,,
Power Plant,13,1,NS,0.0006,99.9077,NS,UNMAPPED -> dropped,no,,,
Maintenance Yard,13,1,ON,0.0006,99.9083,ON,UNMAPPED -> dropped,no,,,
Stadium,13,2,AB;BC,0.0006,99.9089,AB,UNMAPPED -> dropped,no,,,
Police,13,4,AB;BC;NB;ON,0.0006,99.9095,NB,UNMAPPED -> dropped,no,,,
Attached Garage,13,1,ON,0.0006,99.9101,ON,UNMAPPED -> dropped,no,,,
Cafe / Restaurant / Bar,13,1,BC,0.0006,99.9107,BC,UNMAPPED -> dropped,no,,,
Special Care Home,12,1,NB,0.0006,99.9113,NB,UNMAPPED -> dropped,no,,,
Water Supply and Treatment,12,1,NB,0.0006,99.9119,NB,UNMAPPED -> dropped,no,,,
Paramedic Base,12,1,NS,0.0006,99.9125,NS,UNMAPPED -> dropped,no,,,
Gallery,12,1,BC,0.0006,99.9131,BC,UNMAPPED -> dropped,no,,,
"Fitness/Recreation, Community Centres",12,1,ON,0.0006,99.9137,ON,UNMAPPED -> dropped,no,,,
Post Secondary Institution,12,1,ON,0.0006,99.9143,ON,UNMAPPED -> dropped,no,,,
Parks Canada offices//Bureaux de Parcs Canada,12,5,AB;BC;NS;ON;QC,0.0006,99.9149,NS,UNMAPPED -> dropped,no,,,
Private Franchise Utilities,12,1,AB,0.0006,99.9155,AB,UNMAPPED -> dropped,no,,,
Operations,12,2,BC;ON,0.0006,99.9161,BC,UNMAPPED -> dropped,no,,,
Correctional Facility,12,3,BC;NS;ON,0.0006,99.9167,ON,UNMAPPED -> dropped,no,,,
Public Elementary (French),12,1,ON,0.0006,99.9173,ON,UNMAPPED -> dropped,no,,,
Event Centre,12,1,NS,0.0006,99.9179,NS,UNMAPPED -> dropped,no,,,
Well Pump House,12,1,ON,0.0006,99.9185,ON,UNMAPPED -> dropped,no,,,
Apartments-Elevators - R5,12,1,AB,0.0006,99.9191,AB,UNMAPPED -> dropped,no,,,
Seniors Residence,12,1,ON,0.0006,99.9197,ON,UNMAPPED -> dropped,no,,,
Railyard,12,1,NB,0.0006,99.9203,NB,UNMAPPED -> dropped,no,,,
Childcare / Daycare Facility,11,1,ON,0.0005,99.9208,ON,UNMAPPED -> dropped,no,,,
Emergency Response / Law Enforcement,11,1,ON,0.0005,99.9213,ON,UNMAPPED -> dropped,no,,,
Homeless Shelter,11,2,NS;ON,0.0005,99.9218,ON,UNMAPPED -> dropped,no,,,
Historic Sites / Government,11,1,ON,0.0005,99.9223,ON,UNMAPPED -> dropped,no,,,
Courthouse,11,3,NB;NS;ON,0.0005,99.9228,NS,UNMAPPED -> dropped,no,,,
College,11,2,NB;ON,0.0005,99.9233,ON,UNMAPPED -> dropped,no,,,
Lighthouse,11,2,NB;NS,0.0005,99.9238,NS,UNMAPPED -> dropped,no,,,
Zoo,11,2,NB;ON,0.0005,99.9243,ON,UNMAPPED -> dropped,no,,,
Édifice administratif,11,1,QC,0.0005,99.9248,QC,UNMAPPED -> dropped,no,,,
Other School,11,1,SK,0.0005,99.9253,SK,UNMAPPED -> dropped,no,,,
Prison / Correctional Facility,11,1,ON,0.0005,99.9258,ON,UNMAPPED -> dropped,no,,,
Ferry Terminal,11,1,NS,0.0005,99.9263,NS,UNMAPPED -> dropped,no,,,
Multi-Use (Commercial / Low Rise Residential),11,1,BC,0.0005,99.9268,BC,UNMAPPED -> dropped,no,,,
Golf Course Facility,11,1,ON,0.0005,99.9273,ON,UNMAPPED -> dropped,no,,,
Inn,11,1,ON,0.0005,99.9278,ON,UNMAPPED -> dropped,no,,,
Womens Prison,11,1,NS,0.0005,99.9283,NS,UNMAPPED -> dropped,no,,,
Water Pumping Station,10,1,ON,0.0005,99.9288,ON,UNMAPPED -> dropped,no,,,
Picnic Area,10,1,ON,0.0005,99.9293,ON,UNMAPPED -> dropped,no,,,
Pharmacy,10,3,NB;NS;ON,0.0005,99.9298,ON,UNMAPPED -> dropped,no,,,
Arts,10,3,AB;BC;ON,0.0005,99.9303,ON,UNMAPPED -> dropped,no,,,
Ambulance Facility,10,1,ON,0.0005,99.9308,ON,UNMAPPED -> dropped,no,,,
Clinique,10,1,QC,0.0005,99.9313,QC,UNMAPPED -> dropped,no,,,
Communication Tower,10,1,ON,0.0005,99.9318,ON,UNMAPPED -> dropped,no,,,
Section 23 Program,10,1,ON,0.0005,99.9323,ON,UNMAPPED -> dropped,no,,,
Catholic School,10,1,ON,0.0005,99.9328,ON,UNMAPPED -> dropped,no,,,
Public Water Supply Well,10,1,ON,0.0005,99.9333,ON,UNMAPPED -> dropped,no,,,
Car Dealership,10,1,NS,0.0005,99.9338,NS,UNMAPPED -> dropped,no,,,
Berge,10,1,QC,0.0005,99.9343,QC,UNMAPPED -> dropped,no,,,
Family Health Teams,9,1,ON,0.0004,99.9347,ON,UNMAPPED -> dropped,no,,,
Federal Facility,9,1,ON,0.0004,99.9351,ON,UNMAPPED -> dropped,no,,,
CHRC,9,1,NT,0.0004,99.9355,NT,UNMAPPED -> dropped,no,,,
Booster Station,9,1,BC,0.0004,99.9359,BC,UNMAPPED -> dropped,no,,,
Apartment (Low Rise),9,1,BC,0.0004,99.9363,BC,UNMAPPED -> dropped,no,,,
Swimming Pool,9,1,BC,0.0004,99.9367,BC,UNMAPPED -> dropped,no,,,
Emergency Medical Services,9,1,ON,0.0004,99.9371,ON,UNMAPPED -> dropped,no,,,
Auberge de jeunesse,9,1,QC,0.0004,99.9375,QC,UNMAPPED -> dropped,no,,,
RCMP,9,1,BC,0.0004,99.9379,BC,UNMAPPED -> dropped,no,,,
Walk-In Clinic,9,2,BC;ON,0.0004,99.9383,ON,UNMAPPED -> dropped,no,,,
Garden Suite,9,1,ON,0.0004,99.9387,ON,UNMAPPED -> dropped,no,,,
Public (school closed),8,1,ON,0.0004,99.9391,ON,UNMAPPED -> dropped,no,,,
Petroleum / Oil / Lubricants Storage Tank,8,1,ON,0.0004,99.9395,ON,UNMAPPED -> dropped,no,,,
Outdoor Storage Yard,8,1,AB,0.0004,99.9399,AB,UNMAPPED -> dropped,no,,,
Supervised,8,1,NS,0.0004,99.9403,NS,UNMAPPED -> dropped,no,,,
Bureau Accès Montréal et bureaux municipaux,8,1,QC,0.0004,99.9407,QC,UNMAPPED -> dropped,no,,,
Historic Site / Point of Interest,8,1,ON,0.0004,99.9411,ON,UNMAPPED -> dropped,no,,,
Government Centre,8,1,ON,0.0004,99.9415,ON,UNMAPPED -> dropped,no,,,
Studio,8,1,BC,0.0004,99.9419,BC,UNMAPPED -> dropped,no,,,
Cinéma,8,1,QC,0.0004,99.9423,QC,UNMAPPED -> dropped,no,,,
Recreation Complex,8,1,AB,0.0004,99.9427,AB,UNMAPPED -> dropped,no,,,
Seniors Centre,8,3,AB;BC;ON,0.0004,99.9431,AB,UNMAPPED -> dropped,no,,,
Adult Learning,8,1,ON,0.0004,99.9435,ON,UNMAPPED -> dropped,no,,,
Water Tower,7,3,AB;NS;ON,0.0003,99.9438,NS,UNMAPPED -> dropped,no,,,
Public Washroom,7,3,AB;NS;ON,0.0003,99.9441,AB,UNMAPPED -> dropped,no,,,
Place of Worship / Performance,7,1,ON,0.0003,99.9444,ON,UNMAPPED -> dropped,no,,,
Place of Worship / Historic Sites,7,1,ON,0.0003,99.9447,ON,UNMAPPED -> dropped,no,,,
Municipal Office,7,1,ON,0.0003,99.945,ON,UNMAPPED -> dropped,no,,,
Municipal Administration,7,1,ON,0.0003,99.9453,ON,UNMAPPED -> dropped,no,,,
General Recreation Facility,7,1,NB,0.0003,99.9456,NB,UNMAPPED -> dropped,no,,,
Education / Performance,7,1,ON,0.0003,99.9459,ON,UNMAPPED -> dropped,no,,,
Medical Clinic,7,1,NS,0.0003,99.9462,NS,UNMAPPED -> dropped,no,,,
Storage Shed,7,1,BC,0.0003,99.9465,BC,UNMAPPED -> dropped,no,,,
Recreational Other,7,1,AB,0.0003,99.9468,AB,UNMAPPED -> dropped,no,,,
Amusement / Water Park,7,1,ON,0.0003,99.9471,ON,UNMAPPED -> dropped,no,,,
Credit Union,7,1,ON,0.0003,99.9474,ON,UNMAPPED -> dropped,no,,,
Recreation and Community Centre,7,1,BC,0.0003,99.9477,BC,UNMAPPED -> dropped,no,,,
Pump House,7,2,BC;ON,0.0003,99.948,ON,UNMAPPED -> dropped,no,,,
Transit,7,1,ON,0.0003,99.9483,ON,UNMAPPED -> dropped,no,,,
Centre sportif,7,1,QC,0.0003,99.9486,QC,UNMAPPED -> dropped,no,,,
Theatre / Opera,7,1,ON,0.0003,99.9489,ON,UNMAPPED -> dropped,no,,,
Synagogue,7,3,BC;ON;QC,0.0003,99.9492,ON,UNMAPPED -> dropped,no,,,
Chapelle,7,1,QC,0.0003,99.9495,QC,UNMAPPED -> dropped,no,,,
Bureau Accès Montréal,7,1,QC,0.0003,99.9498,QC,UNMAPPED -> dropped,no,,,
Ambulance Station,7,1,ON,0.0003,99.9501,ON,UNMAPPED -> dropped,no,,,
Accommodation//Hébergement,7,1,AB,0.0003,99.9504,AB,UNMAPPED -> dropped,no,,,
Catholic Elementary (French),6,1,ON,0.0003,99.9507,ON,UNMAPPED -> dropped,no,,,
Bureau municipal lavallois,6,1,QC,0.0003,99.951,QC,UNMAPPED -> dropped,no,,,
Ambulance,6,2,AB;SK,0.0003,99.9513,SK,UNMAPPED -> dropped,no,,,
Hôtel de ville / mairie,6,1,QC,0.0003,99.9516,QC,UNMAPPED -> dropped,no,,,
Service communautaire,6,1,QC,0.0003,99.9519,QC,UNMAPPED -> dropped,no,,,
Community College/University,6,1,ON,0.0003,99.9522,ON,UNMAPPED -> dropped,no,,,
Single-family semi-detached,6,1,ON,0.0003,99.9525,ON,UNMAPPED -> dropped,no,,,
Sports Complex,6,1,ON,0.0003,99.9528,ON,UNMAPPED -> dropped,no,,,
Centre culturel,6,1,QC,0.0003,99.9531,QC,UNMAPPED -> dropped,no,,,
Sports Facility,6,1,ON,0.0003,99.9534,ON,UNMAPPED -> dropped,no,,,
Spray Paint Operation,6,1,NS,0.0003,99.9537,NS,UNMAPPED -> dropped,no,,,
Salt Dome,6,1,NS,0.0003,99.954,NS,UNMAPPED -> dropped,no,,,
Comfort Station,6,1,ON,0.0003,99.9543,ON,UNMAPPED -> dropped,no,,,
Gymnase,6,1,QC,0.0003,99.9546,QC,UNMAPPED -> dropped,no,,,
Adult Service Centre,6,1,NS,0.0003,99.9549,NS,UNMAPPED -> dropped,no,,,
Heritage properties,6,1,ON,0.0003,99.9552,ON,UNMAPPED -> dropped,no,,,
High Rise Residential,6,1,BC,0.0003,99.9555,BC,UNMAPPED -> dropped,no,,,
Movie Theatre,6,2,BC;NS,0.0003,99.9558,BC,UNMAPPED -> dropped,no,,,
Health,6,1,ON,0.0003,99.9561,ON,UNMAPPED -> dropped,no,,,
Parkade,6,1,BC,0.0003,99.9564,BC,UNMAPPED -> dropped,no,,,
Public Pool,6,1,ON,0.0003,99.9567,ON,UNMAPPED -> dropped,no,,,
GO Station,6,1,ON,0.0003,99.957,ON,UNMAPPED -> dropped,no,,,
Plaza,6,1,ON,0.0003,99.9573,ON,UNMAPPED -> dropped,no,,,
RAIL TERMINAL,6,1,NS,0.0003,99.9576,NS,UNMAPPED -> dropped,no,,,
Armoury,6,2,NS;ON,0.0003,99.9579,NS,UNMAPPED -> dropped,no,,,
Cultural or Heritage,6,1,NB,0.0003,99.9582,NB,UNMAPPED -> dropped,no,,,
Retirement Residence,6,1,ON,0.0003,99.9585,ON,UNMAPPED -> dropped,no,,,
Operations Centre,6,1,BC,0.0003,99.9588,BC,UNMAPPED -> dropped,no,,,
Shopping,5,2,BC;NS,0.0002,99.959,BC,UNMAPPED -> dropped,no,,,
Composting Facility,5,1,NS,0.0002,99.9592,NS,UNMAPPED -> dropped,no,,,
INTAKE,5,1,BC,0.0002,99.9594,BC,UNMAPPED -> dropped,no,,,
Social Services,5,1,NB,0.0002,99.9596,NB,UNMAPPED -> dropped,no,,,
Sports Arena / Stadium,5,2,NB;ON,0.0002,99.9598,ON,UNMAPPED -> dropped,no,,,
Long Term Care Facility,5,1,ON,0.0002,99.96,ON,UNMAPPED -> dropped,no,,,
Caserne de Pompier,5,1,QC,0.0002,99.9602,QC,UNMAPPED -> dropped,no,,,
Bar / Retail,5,1,ON,0.0002,99.9604,ON,UNMAPPED -> dropped,no,,,
Broadcast Studio,5,1,NS,0.0002,99.9606,NS,UNMAPPED -> dropped,no,,,
arm,5,1,ON,0.0002,99.9608,ON,UNMAPPED -> dropped,no,,,
Bus Terminal,5,1,NS,0.0002,99.961,NS,UNMAPPED -> dropped,no,,,
Adult Learning Centre,5,1,ON,0.0002,99.9612,ON,UNMAPPED -> dropped,no,,,
Cafe / Retail,5,1,ON,0.0002,99.9614,ON,UNMAPPED -> dropped,no,,,
Supporting Institution,5,1,ON,0.0002,99.9616,ON,UNMAPPED -> dropped,no,,,
County Building,5,1,AB,0.0002,99.9618,AB,UNMAPPED -> dropped,no,,,
Penitentiary,5,1,ON,0.0002,99.962,ON,UNMAPPED -> dropped,no,,,
"Gallery/Exhibition, Retail",5,1,ON,0.0002,99.9622,ON,UNMAPPED -> dropped,no,,,
Facility,5,1,BC,0.0002,99.9624,BC,UNMAPPED -> dropped,no,,,
Police Services,5,1,ON,0.0002,99.9626,ON,UNMAPPED -> dropped,no,,,
Refuse Facility,5,1,NS,0.0002,99.9628,NS,UNMAPPED -> dropped,no,,,
Archive,5,1,NS,0.0002,99.963,NS,UNMAPPED -> dropped,no,,,
Developmental Building,5,1,ON,0.0002,99.9632,ON,UNMAPPED -> dropped,no,,,
Railway,5,1,AB,0.0002,99.9634,AB,UNMAPPED -> dropped,no,,,
Municipal Hall,5,1,BC,0.0002,99.9636,BC,UNMAPPED -> dropped,no,,,
Museum / Historic Sites,5,1,ON,0.0002,99.9638,ON,UNMAPPED -> dropped,no,,,
MusicDance,5,1,BC,0.0002,99.964,BC,UNMAPPED -> dropped,no,,,
NSCC,5,1,NS,0.0002,99.9642,NS,UNMAPPED -> dropped,no,,,
Peel Living,5,1,ON,0.0002,99.9644,ON,UNMAPPED -> dropped,no,,,
Motel Units,5,1,NS,0.0002,99.9646,NS,UNMAPPED -> dropped,no,,,
Veterinary Hospital / Clinic,5,1,ON,0.0002,99.9648,ON,UNMAPPED -> dropped,no,,,
Waste Management,5,1,NB,0.0002,99.965,NB,UNMAPPED -> dropped,no,,,
Heliport,4,1,AB,0.0002,99.9652,AB,UNMAPPED -> dropped,no,,,
Bar / Restaurant / Performance / Gallery / Exhibition,4,1,ON,0.0002,99.9654,ON,UNMAPPED -> dropped,no,,,
Cafe / Bakery,4,1,ON,0.0002,99.9656,ON,UNMAPPED -> dropped,no,,,
Transit Depot,4,1,NS,0.0002,99.9658,NS,UNMAPPED -> dropped,no,,,
Middle School,4,1,ON,0.0002,99.966,ON,UNMAPPED -> dropped,no,,,
Civic,4,1,BC,0.0002,99.9662,BC,UNMAPPED -> dropped,no,,,
Chemical Facility,4,1,ON,0.0002,99.9664,ON,UNMAPPED -> dropped,no,,,
StrongStart BC,4,1,BC,0.0002,99.9666,BC,UNMAPPED -> dropped,no,,,
Telephone Facility,4,1,ON,0.0002,99.9668,ON,UNMAPPED -> dropped,no,,,
Trailhead Pit Toilet,4,1,AB,0.0002,99.967,AB,UNMAPPED -> dropped,no,,,
Multi-Use (Commercial / Multi-Family),4,1,BC,0.0002,99.9672,BC,UNMAPPED -> dropped,no,,,
Mining Operations,4,1,ON,0.0002,99.9674,ON,UNMAPPED -> dropped,no,,,
Hospital / Medical Centre,4,1,ON,0.0002,99.9676,ON,UNMAPPED -> dropped,no,,,
Organization,4,1,BC,0.0002,99.9678,BC,UNMAPPED -> dropped,no,,,
General Administration,4,1,ON,0.0002,99.968,ON,UNMAPPED -> dropped,no,,,
Service / Édifice municipal,4,1,QC,0.0002,99.9682,QC,UNMAPPED -> dropped,no,,,
Separate High School,4,1,SK,0.0002,99.9684,SK,UNMAPPED -> dropped,no,,,
Clubhouse,4,1,ON,0.0002,99.9686,ON,UNMAPPED -> dropped,no,,,
Coffee shop//Casse-croûte,4,2,AB;QC,0.0002,99.9688,QC,UNMAPPED -> dropped,no,,,
Ice Arena,4,1,ON,0.0002,99.969,ON,UNMAPPED -> dropped,no,,,
Aquaculture Facility,4,1,NS,0.0002,99.9692,NS,UNMAPPED -> dropped,no,,,
Curling Club,4,3,NS;ON;SK,0.0002,99.9694,SK,UNMAPPED -> dropped,no,,,
Fire Department,4,2,BC;ON,0.0002,99.9696,BC,UNMAPPED -> dropped,no,,,
Fire Management Headquarters,4,1,ON,0.0002,99.9698,ON,UNMAPPED -> dropped,no,,,
Performance Space - Indoor Venue,4,1,BC,0.0002,99.97,BC,UNMAPPED -> dropped,no,,,
Outpatient Clinic,4,1,ON,0.0002,99.9702,ON,UNMAPPED -> dropped,no,,,
Gare de train,4,1,QC,0.0002,99.9704,QC,UNMAPPED -> dropped,no,,,
Family Resource Centre,4,1,ON,0.0002,99.9706,ON,UNMAPPED -> dropped,no,,,
Public Operations,4,1,AB,0.0002,99.9708,AB,UNMAPPED -> dropped,no,,,
Unique Store,4,1,AB,0.0002,99.971,AB,UNMAPPED -> dropped,no,,,
Trucking Firm,4,1,ON,0.0002,99.9712,ON,UNMAPPED -> dropped,no,,,
Bar / Performance,4,1,ON,0.0002,99.9714,ON,UNMAPPED -> dropped,no,,,
Education / Retail,4,1,ON,0.0002,99.9716,ON,UNMAPPED -> dropped,no,,,
Poste de police de quartier,4,1,QC,0.0002,99.9718,QC,UNMAPPED -> dropped,no,,,
Arts Centre,4,3,AB;NB;ON,0.0002,99.972,AB,UNMAPPED -> dropped,no,,,
Recycling Depot,4,2,BC;ON,0.0002,99.9722,ON,UNMAPPED -> dropped,no,,,
Parking Lot Structure / Garage,4,1,ON,0.0002,99.9724,ON,UNMAPPED -> dropped,no,,,
County Department Office,4,1,AB,0.0002,99.9726,AB,UNMAPPED -> dropped,no,,,
Historic Sites / Park,3,1,ON,0.0001,99.9727,ON,UNMAPPED -> dropped,no,,,
Care Occupancy,3,1,ON,0.0001,99.9728,ON,UNMAPPED -> dropped,no,,,
Centre de récupération et de tri,3,1,QC,0.0001,99.9729,QC,UNMAPPED -> dropped,no,,,
Palais de justice / cour,3,1,QC,0.0001,99.973,QC,UNMAPPED -> dropped,no,,,
